age,region,day,lmean,lsd,sample_date
1-4,South_East,234,0,0,2020-10-07
1-4,South_East,235,0,0,2020-10-08
1-4,South_East,236,0,0,2020-10-09
1-4,South_East,237,0,0,2020-10-10
1-4,South_East,238,0,0,2020-10-11
1-4,South_East,239,0,0,2020-10-12
1-4,South_East,240,0,0,2020-10-13
1-4,South_East,241,0,0,2020-10-14
1-4,South_East,242,0,0,2020-10-15
1-4,South_East,243,0,0,2020-10-16
1-4,South_East,244,0,0,2020-10-17
1-4,South_East,245,0,0,2020-10-18
1-4,South_East,246,0,0,2020-10-19
1-4,South_East,247,0,0,2020-10-20
1-4,South_East,248,0,0,2020-10-21
1-4,South_East,249,0,0,2020-10-22
1-4,South_East,250,0,0,2020-10-23
1-4,South_East,251,0,0,2020-10-24
1-4,South_East,252,0,0,2020-10-25
1-4,South_East,253,0,0,2020-10-26
1-4,South_East,254,0,0,2020-10-27
1-4,South_East,255,0,0,2020-10-28
1-4,South_East,256,0,0,2020-10-29
1-4,South_East,257,0,0,2020-10-30
1-4,South_East,258,0,0,2020-10-31
1-4,South_East,259,0,0,2020-11-01
1-4,South_East,260,0,0,2020-11-02
1-4,South_East,261,0,0,2020-11-03
1-4,South_East,262,0,0,2020-11-04
1-4,South_East,263,0,0,2020-11-05
1-4,South_East,264,0,0,2020-11-06
1-4,South_East,265,0,0,2020-11-07
1-4,South_East,266,0,0,2020-11-08
1-4,South_East,267,0,0,2020-11-09
1-4,South_East,268,0,0,2020-11-10
1-4,South_East,269,0,0,2020-11-11
1-4,South_East,270,0,0,2020-11-12
1-4,South_East,271,0,0,2020-11-13
1-4,South_East,272,0,0,2020-11-14
1-4,South_East,273,0,0,2020-11-15
1-4,South_East,274,0,0,2020-11-16
1-4,South_East,275,0,0,2020-11-17
1-4,South_East,276,0,0,2020-11-18
1-4,South_East,277,0,0,2020-11-19
1-4,South_East,278,0,0,2020-11-20
1-4,South_East,279,0,0,2020-11-21
1-4,South_East,280,0,0,2020-11-22
1-4,South_East,281,0,0,2020-11-23
1-4,South_East,282,0,0,2020-11-24
1-4,South_East,283,0,0,2020-11-25
1-4,South_East,284,0,0,2020-11-26
1-4,South_West,218,0,0,2020-09-21
1-4,South_West,219,0,0,2020-09-22
1-4,South_West,220,0,0,2020-09-23
1-4,South_West,221,0,0,2020-09-24
1-4,South_West,222,0,0,2020-09-25
1-4,South_West,223,0,0,2020-09-26
1-4,South_West,224,0,0,2020-09-27
1-4,South_West,225,0,0,2020-09-28
1-4,South_West,226,0,0,2020-09-29
1-4,South_West,227,0,0,2020-09-30
1-4,South_West,228,0,0,2020-10-01
1-4,South_West,229,0,0,2020-10-02
1-4,South_West,230,0,0,2020-10-03
1-4,South_West,231,0,0,2020-10-04
1-4,South_West,232,0,0,2020-10-05
1-4,South_West,233,0,0,2020-10-06
1-4,South_West,234,0,0,2020-10-07
1-4,South_West,235,0,0,2020-10-08
1-4,South_West,236,0,0,2020-10-09
1-4,South_West,237,0,0,2020-10-10
1-4,South_West,238,0,0,2020-10-11
1-4,South_West,239,0,0,2020-10-12
1-4,South_West,240,0,0,2020-10-13
1-4,South_West,241,0,0,2020-10-14
1-4,South_West,242,0,0,2020-10-15
1-4,South_West,243,0,0,2020-10-16
1-4,South_West,244,0,0,2020-10-17
1-4,South_West,245,0,0,2020-10-18
1-4,South_West,246,0,0,2020-10-19
1-4,South_West,247,0,0,2020-10-20
1-4,South_West,248,0,0,2020-10-21
1-4,South_West,249,0,0,2020-10-22
1-4,South_West,250,0,0,2020-10-23
1-4,South_West,251,0,0,2020-10-24
1-4,South_West,252,0,0,2020-10-25
1-4,South_West,253,0,0,2020-10-26
1-4,South_West,254,0,0,2020-10-27
1-4,South_West,255,0,0,2020-10-28
1-4,South_West,256,0,0,2020-10-29
1-4,South_West,257,0,0,2020-10-30
1-4,South_West,258,0,0,2020-10-31
1-4,South_West,259,0,0,2020-11-01
1-4,South_West,260,0,0,2020-11-02
1-4,South_West,261,0,0,2020-11-03
1-4,South_West,262,0,0,2020-11-04
1-4,South_West,263,0,0,2020-11-05
1-4,South_West,264,0,0,2020-11-06
1-4,South_West,265,0,0,2020-11-07
1-4,South_West,266,0,0,2020-11-08
1-4,South_West,267,0,0,2020-11-09
1-4,South_West,268,0,0,2020-11-10
1-4,South_West,269,0,0,2020-11-11
1-4,South_West,270,0,0,2020-11-12
1-4,South_West,271,0,0,2020-11-13
1-4,South_West,272,0,0,2020-11-14
1-4,South_West,273,0,0,2020-11-15
1-4,South_West,274,0,0,2020-11-16
1-4,South_West,275,0,0,2020-11-17
1-4,South_West,276,0,0,2020-11-18
1-4,South_West,277,0,0,2020-11-19
1-4,South_West,278,0,0,2020-11-20
1-4,South_West,279,0,0,2020-11-21
1-4,South_West,280,0,0,2020-11-22
1-4,South_West,281,0,0,2020-11-23
1-4,South_West,282,0,0,2020-11-24
1-4,South_West,283,0,0,2020-11-25
1-4,South_West,284,0,0,2020-11-26
1-4,West_Midlands,218,0,0,2020-09-21
1-4,West_Midlands,219,0,0,2020-09-22
1-4,West_Midlands,220,0,0,2020-09-23
