"Group","Scenario","Geography","ValueType","Value","1st centile","5th centile","25th centile","75th centile","95th centile","99th centile","50th centile","Creation Day","Creation Month","Creation Year","Day of Value","Month of Value","Year of Value"
"PHE","Forecast","East of England","infections_cum",343632.486442838,141535.680547523,175096.078585707,252555.0079802,487414.884439011,957279.759364301,1597699.87473639,1597699.87473639,12,4,2020,21,4,2020
"PHE","Forecast","East of England","infections_cum",344482.617913519,141564.988500463,175206.839715861,252876.657753929,490844.75507381,990172.434001943,1633127.01972133,1633127.01972133,12,4,2020,22,4,2020
"PHE","Forecast","East of England","infections_cum",346220.863154545,141589.607286627,175405.856740888,253446.93046711,495554.914476687,1027077.28155143,1706307.33172546,1706307.33172546,12,4,2020,23,4,2020
"PHE","Forecast","East of England","infections_cum",347076.239762784,141610.292614335,175582.363920449,253656.434350655,500217.475231321,1042604.74827788,1768310.63054845,1768310.63054845,12,4,2020,24,4,2020
"PHE","Forecast","East of England","infections_cum",348100.883444905,141627.677826317,175738.910656008,253911.457076651,504974.033258477,1053578.49195196,1826743.20085776,1826743.20085776,12,4,2020,25,4,2020
"PHE","Forecast","East of England","infections_cum",349280.501340182,141642.293762157,175872.528210678,254155.741710123,509702.131957706,1080978.33543475,1884552.7155754,1884552.7155754,12,4,2020,26,4,2020
"PHE","Forecast","East of England","infections_cum",350265.420315374,141654.585397319,175894.126014686,254937.651779374,514769.210013736,1101539.11265191,1942000.34642923,1942000.34642923,12,4,2020,27,4,2020
"PHE","Forecast","East of England","infections_cum",351195.946774745,141664.92577979,175912.288119073,255101.925164964,517868.700944278,1137029.17452807,1998990.24468678,1998990.24468678,12,4,2020,28,4,2020
"PHE","Forecast","East of England","infections_cum",351793.603165991,141673.627701797,175927.561311303,255107.492833292,521868.205622639,1170371.10344752,2055429.53625414,2055429.53625414,12,4,2020,29,4,2020
"PHE","Forecast","East of England","infections_cum",352137.59894651,141680.953473904,175940.405311453,255112.025508179,529574.567475031,1208055.47637889,2111228.91698281,2111228.91698281,12,4,2020,30,4,2020
"PHE","Forecast","East of England","infections_cum",352589.851799357,141687.123109731,175951.206645124,255232.134342633,533134.896918503,1242150.48451219,2166303.19867869,2166303.19867869,12,4,2020,1,5,2020
"PHE","Forecast","London","infections_cum",129976.764085217,62115.2540709465,74497.4005130975,100671.876464702,173019.656920749,285260.918284431,475651.299262713,475651.299262713,12,4,2020,14,3,2020
"PHE","Forecast","London","infections_cum",150741.189831699,71440.6809104776,86289.5593886565,116609.310963423,200074.80391305,332600.057979447,557028.395338144,557028.395338144,12,4,2020,15,3,2020
"PHE","Forecast","London","infections_cum",174482.175262473,83055.3287282916,99490.1582874022,135282.80990425,232689.956610596,386872.857707173,651085.606401033,651085.606401033,12,4,2020,16,3,2020
"PHE","Forecast","London","infections_cum",201979.400906768,97441.3428473284,114975.404979688,156603.045630958,269699.513597095,448486.527346538,759411.473592214,759411.473592214,12,4,2020,17,3,2020
