date,region,age.grp,n
2020-02-26,South_East,5-14,0
2020-02-26,South_East,15-24,0
2020-02-26,South_East,25-44,0
2020-02-26,South_East,45-64,0
2020-02-26,South_East,65-74,0
2020-02-26,South_East,75+,0
2020-02-26,South_West,<1yr,0
2020-02-26,South_West,1-4,0
2020-02-26,South_West,5-14,0
2020-02-26,South_West,15-24,0
2020-02-26,South_West,25-44,0
2020-02-26,South_West,45-64,0
2020-02-26,South_West,65-74,0
2020-02-26,South_West,75+,0
2020-02-27,East_of_England,<1yr,0
2020-02-27,East_of_England,1-4,0
2020-02-27,East_of_England,5-14,0
2020-02-27,East_of_England,15-24,0
2020-02-27,East_of_England,25-44,0
2020-02-27,East_of_England,45-64,0
2020-02-27,East_of_England,65-74,0
2020-02-27,East_of_England,75+,0
2020-02-27,London,<1yr,0
2020-02-27,London,1-4,0
2020-02-27,London,5-14,0
2020-02-27,London,15-24,0
2020-02-27,London,25-44,0
2020-02-27,London,45-64,0
2020-02-27,London,65-74,0
2020-02-27,London,75+,0
2020-02-27,Midlands,<1yr,0
2020-02-27,Midlands,1-4,0
2020-02-27,Midlands,5-14,0
2020-02-27,Midlands,15-24,0
2020-02-27,Midlands,25-44,0
2020-02-27,Midlands,45-64,0
2020-02-27,Midlands,65-74,0
2020-02-27,Midlands,75+,0
2020-02-27,North_East_and_Yorkshire,<1yr,0
2020-02-27,North_East_and_Yorkshire,1-4,0
2020-02-27,North_East_and_Yorkshire,5-14,0
2020-02-27,North_East_and_Yorkshire,15-24,0
2020-02-27,North_East_and_Yorkshire,25-44,0
2020-02-27,North_East_and_Yorkshire,45-64,0
2020-02-27,North_East_and_Yorkshire,65-74,0
2020-02-27,North_East_and_Yorkshire,75+,0
2020-02-27,North_West,<1yr,0
2020-02-27,North_West,1-4,0
2020-02-27,North_West,5-14,0
2020-02-27,North_West,15-24,0
2020-02-27,North_West,25-44,0
2020-02-27,North_West,45-64,0
2020-02-27,North_West,65-74,0
2020-02-27,North_West,75+,0
2020-02-27,South_East,<1yr,0
2020-02-27,South_East,1-4,0
2020-02-27,South_East,5-14,0
2020-02-27,South_East,15-24,0
2020-02-27,South_East,25-44,0
2020-02-27,South_East,45-64,0
2020-02-27,South_East,65-74,0
2020-02-27,South_East,75+,0
2020-02-27,South_West,<1yr,0
2020-02-27,South_West,1-4,0
2020-02-27,South_West,5-14,0
2020-02-27,South_West,15-24,0
2020-02-27,South_West,25-44,0
2020-02-27,South_West,45-64,0
2020-02-27,South_West,65-74,0
2020-02-27,South_West,75+,0
2020-02-28,East_of_England,<1yr,0
2020-02-28,East_of_England,1-4,0
2020-02-28,East_of_England,5-14,0
2020-02-28,East_of_England,15-24,0
2020-02-28,East_of_England,25-44,0
2020-02-28,East_of_England,45-64,0
2020-02-28,East_of_England,65-74,0
2020-02-28,East_of_England,75+,0
2020-02-28,London,<1yr,0
2020-02-28,London,1-4,0
2020-02-28,London,5-14,0
2020-02-28,London,15-24,0
2020-02-28,London,25-44,0
2020-02-28,London,45-64,0
2020-02-28,London,65-74,0
2020-02-28,London,75+,0
2020-02-28,Midlands,<1yr,0
2020-02-28,Midlands,1-4,0
2020-02-28,Midlands,5-14,0
2020-02-28,Midlands,15-24,0
2020-02-28,Midlands,25-44,0
2020-02-28,Midlands,45-64,0
2020-02-28,Midlands,65-74,0
2020-02-28,Midlands,75+,0
2020-02-28,North_East_and_Yorkshire,<1yr,0
2020-02-28,North_East_and_Yorkshire,1-4,0
2020-02-28,North_East_and_Yorkshire,5-14,0
2020-02-28,North_East_and_Yorkshire,15-24,0
2020-02-28,North_East_and_Yorkshire,25-44,0
2020-02-28,North_East_and_Yorkshire,45-64,0
2020-02-28,North_East_and_Yorkshire,65-74,0
2020-02-28,North_East_and_Yorkshire,75+,0
2020-02-28,North_West,<1yr,0
2020-02-28,North_West,1-4,0
2020-02-28,North_West,5-14,0
2020-02-28,North_West,15-24,0
2020-02-28,North_West,25-44,0
2020-02-28,North_West,45-64,0
2020-02-28,North_West,65-74,0
2020-02-28,North_West,75+,0
2020-02-28,South_East,<1yr,0
2020-02-28,South_East,1-4,0
2020-02-28,South_East,5-14,0
2020-02-28,South_East,15-24,0
2020-02-28,South_East,25-44,0
2020-02-28,South_East,45-64,0
2020-02-28,South_East,65-74,0
2020-02-28,South_East,75+,0
2020-02-28,South_West,<1yr,0
2020-02-28,South_West,1-4,0
2020-02-28,South_West,5-14,0
2020-02-28,South_West,15-24,0
2020-02-28,South_West,25-44,0
2020-02-28,South_West,45-64,0
2020-02-28,South_West,65-74,0
2020-02-28,South_West,75+,0
2020-02-29,East_of_England,<1yr,0
2020-02-29,East_of_England,1-4,0
2020-02-29,East_of_England,5-14,0
2020-02-29,East_of_England,15-24,0
2020-02-29,East_of_England,25-44,0
2020-02-29,East_of_England,45-64,0
2020-02-29,East_of_England,65-74,0
2020-02-29,East_of_England,75+,0
2020-02-29,London,<1yr,0
2020-02-29,London,1-4,0
2020-02-29,London,5-14,0
2020-02-29,London,15-24,0
2020-02-29,London,25-44,0
2020-02-29,London,45-64,0
2020-02-29,London,65-74,0
2020-02-29,London,75+,0
2020-02-29,Midlands,<1yr,0
2020-02-29,Midlands,1-4,0
2020-02-29,Midlands,5-14,0
2020-02-29,Midlands,15-24,0
2020-02-29,Midlands,25-44,0
2020-02-29,Midlands,45-64,0
2020-02-29,Midlands,65-74,0
2020-02-29,Midlands,75+,0
2020-02-29,North_East_and_Yorkshire,<1yr,0
2020-02-29,North_East_and_Yorkshire,1-4,0
2020-02-29,North_East_and_Yorkshire,5-14,0
2020-02-29,North_East_and_Yorkshire,15-24,0
2020-02-29,North_East_and_Yorkshire,25-44,0
2020-02-29,North_East_and_Yorkshire,45-64,0
2020-02-29,North_East_and_Yorkshire,65-74,0
2020-02-29,North_East_and_Yorkshire,75+,0
2020-02-29,North_West,<1yr,0
2020-02-29,North_West,1-4,0
2020-02-29,North_West,5-14,0
2020-02-29,North_West,15-24,0
2020-02-29,North_West,25-44,0
2020-02-29,North_West,45-64,0
2020-02-29,North_West,65-74,0
2020-02-29,North_West,75+,0
2020-02-29,South_East,<1yr,0
2020-02-29,South_East,1-4,0
2020-02-29,South_East,5-14,0
2020-02-29,South_East,15-24,0
2020-02-29,South_East,25-44,0
2020-02-29,South_East,45-64,0
2020-02-29,South_East,65-74,0
2020-02-29,South_East,75+,0
2020-02-29,South_West,<1yr,0
2020-02-29,South_West,1-4,0
2020-02-29,South_West,5-14,0
2020-02-29,South_West,15-24,0
2020-02-29,South_West,25-44,0
2020-02-29,South_West,45-64,0
2020-02-29,South_West,65-74,0
2020-02-29,South_West,75+,0
2020-03-01,London,<1yr,0
2020-03-01,London,1-4,0
2020-03-01,London,5-14,0
2020-03-01,London,15-24,2
2020-03-01,London,25-44,4
2020-03-01,London,45-64,2
2020-03-01,London,65-74,1
2020-03-01,London,75+,0
2020-03-01,East_of_England,<1yr,0
2020-03-01,East_of_England,1-4,0
2020-03-01,East_of_England,5-14,0
2020-03-01,East_of_England,15-24,0
2020-03-01,East_of_England,25-44,0
2020-03-01,East_of_England,45-64,0
2020-03-01,East_of_England,65-74,0
2020-03-01,East_of_England,75+,0
2020-03-01,Midlands,<1yr,0
2020-03-01,Midlands,1-4,0
2020-03-01,Midlands,5-14,0
2020-03-01,Midlands,15-24,0
2020-03-01,Midlands,25-44,0
2020-03-01,Midlands,45-64,0
2020-03-01,Midlands,65-74,0
2020-03-01,Midlands,75+,0
2020-03-01,North_East_and_Yorkshire,<1yr,0
2020-03-01,North_East_and_Yorkshire,1-4,0
2020-03-01,North_East_and_Yorkshire,5-14,0
2020-03-01,North_East_and_Yorkshire,15-24,0
2020-03-01,North_East_and_Yorkshire,25-44,0
